Timestamp,Frame,TriggerCount,CameraOK,EEG,EOG
94459.032284,1,1,1,,
94459.042284,,1,0,,
94459.052284,,1,0,,
94459.062284,,1,0,,
94459.072284,,1,0,,
94459.082284,,1,0,,
94459.092284,,1,0,,
94459.102284,,1,0,,
94459.112284,,1,0,,
94459.122284,,1,0,,
94459.132284,,1,0,,
94459.142284,,1,0,,
94459.152284,,1,0,,
94459.162284,,1,0,,
94459.172284,,1,0,,
94459.182284,,1,0,,
94459.192284,,1,0,,
94459.202284,,1,0,,
94459.212284,2,2,1,,
94459.222284,,2,0,,
94459.232284,,2,0,,
94459.242284,,2,0,,
94459.252284,,2,0,,
94459.262284,,2,0,,
94459.272284,,2,0,,
94459.282284,,2,0,,
94459.292284,,2,0,,
94459.302284,,2,0,,
94459.312284,,2,0,,
94459.322284,,2,0,,
94459.332284,,2,0,,
94459.342284,,2,0,,
94459.352284,,2,0,,
94459.362284,,2,0,,
94459.372284,,2,0,,
94459.382284,,2,0,,
94459.392284,,2,0,,
94459.402284,,2,0,,
94459.412284,,2,0,,
94459.422284,,2,0,,
94459.432284,,2,0,,
94459.442284,,2,0,,
94459.452284,,2,0,,
94459.462284,,2,0,,
94459.472284,,2,0,,
94459.482284,,2,0,,
94459.492284,,2,0,,
94459.502284,,2,0,,
94459.512284,,2,0,,
94459.522284,,2,0,,
94459.532284,,2,0,,
94459.542284,,2,0,,
94459.552284,,2,0,,
94459.562284,,2,0,,
94459.572284,,2,0,,
94459.582284,,2,0,,
94459.592284,,2,0,,
94459.602284,,2,0,,
94459.612284,,2,0,,
94459.622284,,2,0,,
94459.632284,,2,0,,
94459.642284,,2,0,,
94459.652284,,2,0,,
94459.662284,,2,0,,
94459.672284,,2,0,,
94459.682284,,2,0,,
94459.692284,,2,0,,
94459.702284,,2,0,,
94459.712284,,2,0,,
94459.722284,,2,0,,
94459.732284,,2,0,,
94459.742284,,2,0,,
94459.752284,,2,0,,
94459.762284,,2,0,,
94459.772284,,2,0,,
94459.782284,,2,0,,
94459.792284,,2,0,,
94459.802284,,2,0,,
94459.812284,,2,0,,
94459.822284,,2,0,,
94459.832284,,2,0,,
94459.842284,,2,0,,
94459.852284,,2,0,,
94459.862284,,2,0,,
94459.872284,,2,0,,
94459.882284,,2,0,,
94459.892284,,2,0,,
94459.902284,,2,0,,
94459.912284,,2,0,,
94459.922284,,2,0,,
94459.932284,,2,0,,
94459.942284,,2,0,,
94459.952284,,2,0,,
94459.962284,,2,0,,
94459.972284,,2,0,,
94459.982284,,2,0,,
94459.992284,,2,0,,
94460.002284,,2,0,,
94460.012284,,2,0,,
94460.022284,,2,0,,
94460.032284,,2,0,,
94460.042284,,2,0,,
94460.052284,,2,0,,
94460.062284,,2,0,,
94460.072284,,2,0,,
94460.082284,,2,0,,
94460.092284,,2,0,,
94460.102284,,2,0,,
94460.112284,,2,0,,
94460.122284,,2,0,,
94460.132284,,2,0,,
94460.142284,,2,0,,
94460.152284,,2,0,,
94460.162284,,2,0,,
94460.172284,,2,0,,
94460.182284,,2,0,,
94460.192284,,2,0,,
94460.202284,,2,0,,
94460.212284,,2,0,,
94460.222284,,2,0,,
94460.232284,,2,0,,
94460.242284,,2,0,,
94460.252284,,2,0,,
94460.262284,,2,0,,
